||=== Build: Robi_Debug in piMASS (compiler: GNU GCC Compiler) ===|
/home/pi/Desktop/piMASS/gpcgt.h|418|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|420|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|426|warning: ‘packed’ attribute ignored for field of type ‘U1 [3] {aka unsigned char [3]}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|427|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘void gpcFD::zero(U4)’:|
/home/pi/Desktop/piMASS/gpcgt.h|580|warning: unused variable ‘p_Z’ [-Wunused-variable]|
include/gpcOPCD.h||In member function ‘gpcOPCD& gpcOPCD::null()’:|
include/gpcOPCD.h|52|warning: no return statement in function returning non-void [-Wreturn-type]|
include/gpcOPCD.h|115|warning: ISO C++ forbids converting a string constant to ‘char*’ [-Wwrite-strings]|
include/gpcOPCD.h|115|warning: ISO C++ forbids converting a string constant to ‘char*’ [-Wwrite-strings]|
include/gpcOPCD.h||In member function ‘gpcCMPL& gpcCMPL::null()’:|
include/gpcOPCD.h|125|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcSRC.h||In member function ‘void* gpcLAY::pRE(U4, U4, U4, U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcSRC.h|478|note: in expansion of macro ‘gpmDELary’|
./gpcSRC.h||In member function ‘U8 gpcSRC::CRSminiCR(I4x2&, bool)’:|
/home/pi/Desktop/piMASS/piMASS.h|227|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
./gpcSRC.h|662|note: in expansion of macro ‘min’|
./gpcres.h||In member function ‘gpcISA* gpcISA::null()’:|
/home/pi/Desktop/piMASS/piMASS.h|286|warning: possible problem detected in invocation of delete operator: [-Wdelete-incomplete]|
./gpcres.h|60|note: in expansion of macro ‘gpmDEL’|
./gpcres.h|60|warning: invalid use of incomplete type ‘class gpcRES’|
/home/pi/Desktop/piMASS/piMASS.h|286|note: in definition of macro ‘gpmDEL’|
./gpcres.h|7|note: forward declaration of ‘class gpcRES’|
/home/pi/Desktop/piMASS/piMASS.h|286|note: neither the destructor nor the class-specific operator delete will be called, even if they are declared when the class is defined|
./gpcres.h|60|note: in expansion of macro ‘gpmDEL’|
./gpcres.h||In member function ‘gpcREG& gpcREG::operator=(U1*)’:|
./gpcres.h|230|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcres.h||In member function ‘gpfFLG& gpfFLG::null()’:|
./gpcres.h|643|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcres.h||In member function ‘gpcRES* gpcRES::chg(gpcALU&)’:|
/home/pi/Desktop/piMASS/piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|871|note: in expansion of macro ‘gpmDELary’|
/home/pi/Desktop/piMASS/piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|902|note: in expansion of macro ‘gpmDELary’|
./gpcres.h||In member function ‘gpcALU& gpcRES::ADD(gpeALF, U4, U4)’:|
./gpcres.h|919|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|928|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|939|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|952|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|962|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|971|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
/home/pi/Desktop/piMASS/piMASS.h||In function ‘bool gpfMKDR(char*, const char*)’:|
/home/pi/Desktop/piMASS/piMASS.h|465|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h|463|warning: unused variable ‘p_end’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U1x4& U1x4::typMX(U1x4)’:|
/home/pi/Desktop/piMASS/piMASS.h|862|warning: suggest parentheses around comparison in operand of ‘&’ [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U2x4& U2x4::operator=(U2)’:|
/home/pi/Desktop/piMASS/piMASS.h|1261|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U2x4& U2x4::operator=(I2)’:|
/home/pi/Desktop/piMASS/piMASS.h|1265|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U4x4& U4x4::operator=(U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|1735|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U4x4& U4x4::operator=(I4)’:|
/home/pi/Desktop/piMASS/piMASS.h|1739|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘I4x4* I4x4::index(U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|2825|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp(U8&, U8, U8, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4638|warning: suggest explicit braces to avoid ambiguous ‘else’ [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyWR(const char*, bool)’:|
/home/pi/Desktop/piMASS/piMASS.h|4804|warning: label ‘szasz’ defined but not used [-Wunused-label]|
/home/pi/Desktop/piMASS/gpcpic.h||In member function ‘U1x4* gpcPIC::u1x4LOCK(SDL_Renderer*, U4x2, int&)’:|
/home/pi/Desktop/piMASS/gpcpic.h|164|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/gpcpic.h|164|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/gpcgt.h|417|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|418|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|420|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|426|warning: ‘packed’ attribute ignored for field of type ‘U1 [3] {aka unsigned char [3]}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h|427|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘void gpcFD::zero(U4)’:|
/home/pi/Desktop/piMASS/gpcgt.h|580|warning: unused variable ‘p_Z’ [-Wunused-variable]|
./gpcres.h||In member function ‘gpcISA* gpcISA::null()’:|
/home/pi/Desktop/piMASS/piMASS.h|286|warning: possible problem detected in invocation of delete operator: [-Wdelete-incomplete]|
./gpcres.h|60|note: in expansion of macro ‘gpmDEL’|
./gpcres.h|60|warning: invalid use of incomplete type ‘class gpcRES’|
/home/pi/Desktop/piMASS/piMASS.h|286|note: in definition of macro ‘gpmDEL’|
./gpcres.h|7|note: forward declaration of ‘class gpcRES’|
/home/pi/Desktop/piMASS/piMASS.h|286|note: neither the destructor nor the class-specific operator delete will be called, even if they are declared when the class is defined|
./gpcres.h|60|note: in expansion of macro ‘gpmDEL’|
./gpcres.h||In member function ‘gpcREG& gpcREG::operator=(U1*)’:|
./gpcres.h|230|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcres.h||In member function ‘gpfFLG& gpfFLG::null()’:|
./gpcres.h|643|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcres.h||In member function ‘gpcRES* gpcRES::chg(gpcALU&)’:|
/home/pi/Desktop/piMASS/piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|871|note: in expansion of macro ‘gpmDELary’|
/home/pi/Desktop/piMASS/piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|902|note: in expansion of macro ‘gpmDELary’|
./gpcres.h||In member function ‘gpcALU& gpcRES::ADD(gpeALF, U4, U4)’:|
./gpcres.h|919|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|928|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|939|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|952|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|962|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|971|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h||In member function ‘U4 gpcRES::iFND(gpeALF)’:|
./gpcres.h|995|warning: unused variable ‘x’ [-Wunused-variable]|
include/gpcOPCD.h||In member function ‘gpcOPCD& gpcOPCD::null()’:|
include/gpcOPCD.h|52|warning: no return statement in function returning non-void [-Wreturn-type]|
include/gpcOPCD.h|115|warning: ISO C++ forbids converting a string constant to ‘char*’ [-Wwrite-strings]|
include/gpcOPCD.h|115|warning: ISO C++ forbids converting a string constant to ‘char*’ [-Wwrite-strings]|
include/gpcOPCD.h||In member function ‘gpcCMPL& gpcCMPL::null()’:|
include/gpcOPCD.h|125|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/gpcSRC.h||In member function ‘void* gpcLAY::pRE(U4, U4, U4, U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
/home/pi/Desktop/piMASS/gpcSRC.h|478|note: in expansion of macro ‘gpmDELary’|
/home/pi/Desktop/piMASS/gpcSRC.h||In member function ‘U8 gpcSRC::CRSminiCR(I4x2&, bool)’:|
/home/pi/Desktop/piMASS/piMASS.h|227|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/gpcSRC.h|662|note: in expansion of macro ‘min’|
include/gpcwin.h||In member function ‘gpcLZY* gpcWIN::putLIST(gpcLZY*, gpeNET4, I8x4, char*)’:|
include/gpcwin.h|606|warning: format ‘%d’ expects argument of type ‘int’, but argument 3 has type ‘I8 {aka long long int}’ [-Wformat=]|
include/gpcwin.h||In member function ‘gpcLZY* gpcWIN::putMINI(gpcLZY*, gpeNET4, I8x4, char*)’:|
include/gpcwin.h|659|warning: format ‘%d’ expects argument of type ‘int’, but argument 3 has type ‘I8 {aka long long int}’ [-Wformat=]|
/home/pi/Desktop/piMASS/gpcgt.cpp||In member function ‘gpcLZY* gpcGT_DWNL::join(gpcLZY*, gpcGT&, gpcLZY*)’:|
/home/pi/Desktop/piMASS/gpcgt.cpp|116|warning: unused variable ‘s’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcgt.cpp||In member function ‘gpcGT* gpcGTall::GT(gpeALF, U1*, U4)’:|
/home/pi/Desktop/piMASS/gpcgt.cpp|227|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/gpcgt.cpp||In member function ‘gpcGT* gpcGTall::GTacc(SOCKET, I4)’:|
/home/pi/Desktop/piMASS/gpcgt.cpp|312|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/gpcgt.cpp|312|warning: suggest explicit braces to avoid ambiguous ‘else’ [-Wparentheses]|
/home/pi/Desktop/piMASS/gpcgt.cpp||In member function ‘U1 gpcGT::GTopt(char*, char**, int, U4)’:|
/home/pi/Desktop/piMASS/gpcgt.cpp|454|warning: unused variable ‘sndlow’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcgt.cpp|455|warning: unused variable ‘rcvlow’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcgt.cpp|456|warning: unused variable ‘setsndlow’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcgt.cpp|457|warning: unused variable ‘setrcvlow’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcgt.cpp|467|warning: unused variable ‘b_len’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcgt.cpp|468|warning: unused variable ‘i_len’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcgt.cpp|469|warning: unused variable ‘i_keep’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcgt.cpp|470|warning: unused variable ‘iMode’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcgt.cpp||In member function ‘char* gpcGT::GTrcv(char*, char*, U4)’:|
/home/pi/Desktop/piMASS/gpcgt.cpp|569|warning: unused variable ‘p_error’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcgt.cpp||In member function ‘char* gpcGT::GTsnd(char*, char*, U4)’:|
/home/pi/Desktop/piMASS/gpcgt.cpp|608|warning: suggest explicit braces to avoid ambiguous ‘else’ [-Wparentheses]|
/home/pi/Desktop/piMASS/gpcgt.cpp|620|warning: unused variable ‘nSKIP’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcgt.cpp|698|warning: unused variable ‘h’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcgt.cpp||In member function ‘I8 gpcGT::GTlst(gpcWIN&, gpcGTall&)’:|
/home/pi/Desktop/piMASS/gpcgt.cpp|1069|warning: unused variable ‘i’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcgt.cpp|1069|warning: unused variable ‘j’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcgt.cpp|1069|warning: unused variable ‘idx’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpcgt.cpp||In member function ‘gpcLZY* gpcGT_DWNL::join(gpcLZY*, gpcGT&, gpcLZY*)’:|
/home/pi/Desktop/piMASS/gpcgt.cpp|134|warning: control reaches end of non-void function [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In constructor ‘gpcLZY::gpcLZY(U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|4400|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyADD(const void*, U8, U8&, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4468|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzySUB(U8&, U8)’:|
/home/pi/Desktop/piMASS/piMASS.h|4554|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp(U8&, U8, U8, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4595|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyINS(const U1*, U8, U8&, U8, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4682|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_reqCLOSE()’:|
/home/pi/Desktop/piMASS/piMASS.h|4814|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘bool gpcLZY::qCLOSE()’:|
/home/pi/Desktop/piMASS/piMASS.h|4822|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h||In constructor ‘gpcHUD::gpcHUD()’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h|513|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/gpcgt.h||In constructor ‘gpcGTall::gpcGTall()’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h|596|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘gpcGT* gpcGTall::iGT(U4)’:|
/home/pi/Desktop/piMASS/gpcgt.h|601|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘bool gpcGT::bGTdie()’:|
/home/pi/Desktop/piMASS/gpcgt.h|667|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘bool gpcGT::GTprmpt(bool)’:|
/home/pi/Desktop/piMASS/gpcgt.h|681|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h||In constructor ‘gpcGT::gpcGT(I8x2, I4, SOCKET)’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h|707|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/gpcgt.cpp||In member function ‘gpcLZY* gpcLZY::qEVENT()’:|
/home/pi/Desktop/piMASS/gpcgt.cpp|79|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.cpp||In member function ‘gpcHUD* gpcHUD::put(const void*, I8)’:|
/home/pi/Desktop/piMASS/gpcgt.cpp|140|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.cpp||In member function ‘void gpcGTall::clr()’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.cpp|170|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘gpcGT* gpcGT::GTclr()’:|
/home/pi/Desktop/piMASS/gpcgt.h|714|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.cpp||In member function ‘gpcGT* gpcGTall::GT(SOCKET)’:|
/home/pi/Desktop/piMASS/gpcgt.cpp|178|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.cpp||In member function ‘I8 gpcGT::GTcnct(gpcWIN&)’:|
/home/pi/Desktop/piMASS/gpcgt.cpp|730|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.cpp||In member function ‘I8 gpcGT::GTlst(gpcWIN&, gpcGTall&)’:|
/home/pi/Desktop/piMASS/gpcgt.cpp|956|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcres.h||In member function ‘U4 gpcRES::iFND(gpeALF)’:|
./gpcres.h|995|warning: unused variable ‘x’ [-Wunused-variable]|
include/gpcwin.h||In member function ‘gpcLZY* gpcWIN::putLIST(gpcLZY*, gpeNET4, I8x4, char*)’:|
include/gpcwin.h|606|warning: format ‘%d’ expects argument of type ‘int’, but argument 3 has type ‘I8 {aka long long int}’ [-Wformat=]|
include/gpcwin.h||In member function ‘gpcLZY* gpcWIN::putMINI(gpcLZY*, gpeNET4, I8x4, char*)’:|
include/gpcwin.h|659|warning: format ‘%d’ expects argument of type ‘int’, but argument 3 has type ‘I8 {aka long long int}’ [-Wformat=]|
/home/pi/Desktop/piMASS/gpc_mitsub.cpp||In member function ‘void gpcGT::GTrealMITSUB(gpcGT&, gpcWIN*, gpcGTall*)’:|
/home/pi/Desktop/piMASS/gpc_mitsub.cpp|38|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/gpc_mitsub.cpp|193|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/gpc_mitsub.cpp|218|warning: '0' flag ignored with precision and ‘%X’ gnu_printf format [-Wformat=]|
/home/pi/Desktop/piMASS/gpc_mitsub.cpp|14|warning: unused variable ‘nU2’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpc_mitsub.cpp|20|warning: unused variable ‘pLZYdead’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/gpc_mitsub.cpp|23|warning: unused variable ‘pU2dead’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/piMASS.h||In constructor ‘gpcLZY::gpcLZY()’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|4396|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/piMASS.h||In constructor ‘gpcLZY::gpcLZY(U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|4400|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyADD(const void*, U8, U8&, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4468|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzySUB(U8&, U8)’:|
/home/pi/Desktop/piMASS/piMASS.h|4554|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp(U8&, U8, U8, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4595|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp_rand(U8&, U8, U8, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4588|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|4583|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyINS(const U1*, U8, U8&, U8, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4682|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘bool gpcGT::bGTdie()’:|
/home/pi/Desktop/piMASS/gpcgt.h|667|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘bool gpcGT::GTprmpt(bool)’:|
/home/pi/Desktop/piMASS/gpcgt.h|681|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcgt.h||In member function ‘gpcLZY* gpcGT::GTback()’:|
/home/pi/Desktop/piMASS/gpcgt.h|690|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpc_mitsub.cpp||In member function ‘gpcZS& gpcZS::operator&=(const gpcDrc&)’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpc_mitsub.cpp|783|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/gpc_mitsub.cpp||In member function ‘gpcZS& gpcZS::operator=(const gpcDrc&)’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
